DEPTH_LSF,UCAV,RHON,GR_RAB,GRMA,BPHI,TNPH,A40B,RES_BD,P16B,VCO,VSH
0.1348,8.671005,1.402081,7.57595,,,,0.5914746,0.2832057,0.6091384,,
0.2872,8.791258,1.385705,12.68741,,,,0.6244271,0.2836373,0.6275796,,
0.4396,9.234136,1.358488,20.45794,1.550004,78.2805,76.583,0.6655473,0.3495328,0.6441994,,
0.592,9.187814,1.354235,29.8743,3.260399,76.7572,73.069,0.7035133,0.4333472,0.6638923,,
0.7444,8.867629,1.368756,34.88909,6.369422,82.571,87.7254,0.7409315,0.49919,0.682845,,
0.8968,8.889997,1.398667,36.02594,7.97659,76.0455,74.5799,0.7691683,0.5165228,0.7316166,,
1.0492,8.868129,1.439892,38.90244,8.406051,74.2058,73.4775,0.8095732,0.6148863,0.761301,,
1.2016,8.916947,1.494797,41.46163,6.319276,70.6079,69.6173,0.8395126,0.588059,0.8044546,,
1.354,8.958128,1.537635,43.08964,12.40496,65.5683,62.5157,0.8653269,0.505169,0.8447148,,
1.5064,9.044688,1.582692,45.42294,18.11183,62.6393,59.6429,0.9064939,0.6244115,0.9109544,,
1.6588,9.426934,1.609184,44.8082,22.68578,67.6515,70.6774,0.9434404,0.7234258,0.9784994,,
1.8112,9.225904,1.626296,41.95258,21.55041,63.6945,63.7933,0.977337,0.7104686,1.016009,,
1.9636,9.189378,1.62507,43.17605,20.15838,60.313,57.6844,1.000243,0.7089053,1.029492,,
2.116,9.23678,1.64945,46.04739,19.82528,57.9335,54.8264,1.060829,0.6880338,1.08639,,
2.2684,9.16474,1.655208,46.77017,23.39613,61.3295,60.9329,1.102087,0.7571719,1.097134,,
2.4208,9.123997,1.659536,49.32003,26.50686,57.5643,54.6625,1.144138,1.005667,1.135802,,
2.5732,9.10693,1.651868,54.03304,30.07907,62.9634,63.7914,1.169572,0.8442293,1.15763,,
2.7256,9.028781,1.64136,55.68003,28.53753,60.0642,58.0242,1.192052,1.040405,1.140269,,
2.878,9.231653,1.625059,53.83216,30.75256,62.4901,61.5019,1.199896,1.112646,1.100309,,
3.0304,9.121852,1.617731,51.67237,32.90813,64.4231,64.7078,1.202427,1.124729,1.055069,,
3.1828,8.869075,1.601983,50.29058,34.02897,60.3118,56.6177,1.225926,0.8452424,0.9615031,,
3.3352,9.077502,1.597065,49.76334,34.01731,63.1684,61.2927,1.242254,0.9603981,0.946778,,
3.4876,9.151563,1.583696,49.05704,33.31009,62.8414,60.0435,1.239831,1.201606,0.9648978,,
3.64,9.178906,1.588094,48.64764,35.14579,63.4005,61.2498,1.237882,1.346296,1.013121,,
3.7924,9.13648,1.621074,48.73972,35.81449,65.6361,67.2659,1.25033,1.002881,1.045869,,
3.9448,8.90044,1.65182,48.361,37.2316,62.7837,63.4482,1.263611,1.497845,1.063046,,
4.0972,9.205897,1.661049,48.70903,39.95298,61.292,61.1606,1.267748,1.472692,1.09243,,
4.2496,9.04267,1.6663,48.37569,43.94797,62.2335,63.1821,1.270764,1.177354,1.105819,,
4.402,9.007496,1.656062,46.84602,44.62014,66.3928,70.9639,1.281589,0.9544675,1.115893,,
4.5544,8.988491,1.630238,47.26814,44.41915,63.8468,64.2961,1.282873,1.014463,1.105169,,
4.7068,8.802139,1.60548,49.66502,42.17454,64.5331,64.2439,1.274036,1.439909,1.110606,,
4.8592,8.901235,1.577388,51.19345,42.4181,66.3093,66.0663,1.3076,1.194854,1.106105,,
5.0116,8.768938,1.537319,51.72956,41.48789,65.3106,62.0391,1.30781,1.411523,1.125974,,
5.164,8.88975,1.519777,53.69537,42.58618,71.8013,73.7064,1.309957,1.385531,1.184006,,
5.3164,8.887499,1.516304,57.02204,43.40406,71.3961,72.608,1.316865,1.285295,1.175057,,
5.4688,8.831072,1.51083,58.59121,46.54589,71.5673,72.6109,1.328624,1.2962,1.150032,,
5.6212,8.775753,1.522443,57.11709,47.77649,75.4838,82.4761,1.343911,1.165307,1.129174,,
5.7736,8.747293,1.54758,55.71812,51.14898,64.135,60.4969,1.335453,1.11238,1.14359,,
5.926,8.716775,1.59317,55.08333,52.07708,63.1142,60.9981,1.334179,1.192188,1.181687,,
6.0784,8.764368,1.628361,53.14789,52.0144,61.0943,59.1853,1.325392,1.336776,1.2849,,
